uuid,condition,answer_1,score_1,answer_2,score_2,answer_3,score_3,answer_4,score_4,answer_5,score_5,answer_6,score_6
1de97d07,reading,"('mRNA', 'protein synthesis')",1,"('Hydrogen', 'protein')",0,"('the liver', 'chemical')",0,The number of cells and the organelles within depend on what the cells are expected to do--in this case make it possible for the organism to move.,1,They create insulin which is needed to use glucose for energy.,0,One molecule of oxygen is removed and it is  removed as water in the breath.,0
20e2e41a,reading,"('proteins', 'mRNA')",0,"('carbon', 'hydrogen')",0,"('cells', 'respiration')",0,Form follows function means that the format of cells is built so that they can function properly and help to power the human body through all phases of it's existence.,1,Pancreas cells convert sugars into energy,0,"The digestive process of the cell breaks down the hydrogen particles to only leave one, and it is exhaled out of the body during respiration.",0
98f259f1,reading,"('mRNA', 'amino acids')",2,"('glucose', 'ATP')",2,"('peoxisomes ', 'oxidation')",2,"Form follows functions means that things, in this case, cells are built in a way that make sense for what they do, or how they function. It applies to the structure and function of muscles cells in that muscles cells contain a ot of mitochondria, which generate ATP (adenosine triphosphate) providing the energy needed to keep your body in motion",2,The structures of digestive pancreas cells support their particular function by producing a large amount of proteins that produce digestive enzymes,1,The cell is not damaged by the H2O2 because they are contained within the peroxisomes where they are safety broken down into oxygen and water,2
bb00a8a0,reading,"('mRNA', 'molecules')",1,"('Carbon', 'carbon dioxide')",0,"('mitochondria', 'N/A')",0,It is the idea that purpose should be the starting point over design. The structure and function of muscle cells all have a purpose.,0,I don't know.,0,I don't know,0
d611a8d0,reading,"('mRNA', 'amino acids')",2,"('Glucose', 'ATP')",2,"('peroxisomes', 'detoxification')",1,"Muscle cells are in constant need of energy in order to do the work they are intended to do.  ATP drives this work so muscle cells are abundant in mitochondria, the organelle responsible for ATP synthesis.",1,,0,Hydrogen peroxide is destroyed in the peroxisome  by its conversion to water and oxygen.,1
d79f7e95,reading,"('mRNA', 'whatever amino acid chain the nucleus ordered')",1,"('H202', 'bruh what is this notation')",0,"('specific name', 'specific name')",0,many mitochondria in muscle cells to produce ATP for local energy,1,there are organelles that are able to destroy poisons using h2o2,0,i dont recall,0
f56852a3,reading,"('rna', 'mrma')",1,"('carbon', 'hydrogen')",0,"('liver', 'detoxification')",0,The process proceeds in the manner necessary to keep the body running,0,They are designed to detoxify,0,Because it is broken down into water and hydrogen,1
0a805070,teacher-qa-bot,"('peptides', 'tRNA')",0,"('H2O2', 'oxygen')",0,"('waste', 'peroxiosis')",0,Form follows functions is described like how a hospital needs easy access to emergency rooms. In a cell there are process that allow the optimal function of each cell.,0,The pancreas cells function is to detoxify the cells.,0,peroxisomes absorb the deadly H2O2 and break it down to oxygen and water safely.,1
0fb0c505,teacher-qa-bot,"('RNA', 'translation')",1,"('Glucose', 'ATP')",2,"('peroxisomes', 'oxidation')",2,"Form follows function is a principle that says the shape of a cell is determined by the purpose of the cell. For example, muscle cells are shaped as such because they are responsible for the movement of the body through contractions.",1,The structure of pancreas cells supports their function by clustering together and surrounding a central lumen. They then secrete digestive enzymes necessary for the digestion process.,1,The cell is not damaged by H2O2 because before it can become harmful it is broken down and disposed of by an enzyme called catalase. The residual products of the disposal process are water and oxygen.,1
1fedce0b,teacher-qa-bot,"('messenger RNA (mRNA)', 'amino acids')",2,"('glucose', 'ATP')",2,"('peroxisomes', 'oxidation')",2,Muscle cells contain large amounts of ribosome for protein production.,0,The pancreas cells contain large amounts of the cells that break down nutrients into energy.,0,It is converted into water (H2O) and oxygen (O).,1
22362ec9,teacher-qa-bot,"('mRNA', 'Amino acid')",2,"('H2O2', 'H2O2')",0,"('peroxisomes', 'oxidation')",2,"Basically, form follows function means a substance constructed supports its activities within it.",1,The cells help in giving the organelles protein to function,0,Oxidation normally could damage the cells but during this breakdown reactions are forced to become peroxisomes then there's H2O2 and water,1
31ef1437,teacher-qa-bot,"('tRNA', 'synthesis')",0,"('Glucose', 'ATP')",2,"('enzyes', 'detoxification')",0,The idea that things are constructed to facilitate their function. The organelles and structure of the cells follow the principle as the parts of the ells are shaped such that it facilitates what the function inside the cll is.,1,I do not know.,0,The perixisomes have enzymes inside the organelles that break it down into water and oxygen.,1
8bf22c8f,teacher-qa-bot,"('RNA', 'amino acid')",2,"('H2O2', 'N/A')",0,"('peroxisomes', 'oxidation')",2,Form follows function means that the function of a particular structure is specifically designed to help the structure carry out its specific function.,1,They supply it with protein which travels to the ribosomes which later become amino acids.,0,"The cell is not damaged mainly because of oxidation, which could normally damage it, however, the reactions are confined to peroxisomes which safely breakdown hydrogen peroxide into water and oxygen.",2
cf1d00f8,teacher-qa-bot,"('RNA', 'I have no earthly idea')",1,"('???', '???')",0,"('peroxisomes', 'cellular respiration')",1,Form follows function means that something is composed in a way that aids its purpose/function.,1,Digestive pancreas cells have higher amounts of the one cell part that makes proteins?,0,"The cell isn't damaged by H202 because peroxisomes break it down during cellular respiration, maybe? I'm trying so hard to remember these, you have no idea.",0
ede3330d,teacher-qa-bot,"('mRNA', 'amino acids')",2,"('glucose', 'ATP')",2,"('peroxisomes', 'oxidation')",2,Muscle cells have large numbers of mitochondria which can create ATP and lactic acid to keep a body moving if the muscle cells run out of oxygen. Lactic acid buildup is the cause of muscle soreness after a hard workout.,1,"RIbosomes, which are responsible for protein synthesis, occur in large numbers in the pancreas. The panceas is responsible for creating digestive enzymes to digest food, which often contains large amounts of protein. THerefore, the ribosomes support the digestion of proteins.",2,"Because it gets broken down in the peroxisomes into it's component parts, oxygen and water.",1
